US State:,Abbreviation:,State,"Population"
Alabama,AL,Alabama,4903185
Alaska,AK,Alaska,731545
Arizona,AZ,Arizona,7278717
Arkansas,AR,Arkansas,3017825
California,CA,California,39512223
Colorado,CO,Colorado,5758736
Connecticut,CT,Connecticut,3565287
District of Columbia,DC,District of Columbia,705749
Delaware,DE,Delaware,973764
Florida,FL,Florida,21477737
Georgia,GA,Georgia,10617423
Hawaii,HI,Hawaii,1415872
Idaho,ID,Idaho,1792065
Illinois,IL,Illinois,12671821
Indiana,IN,Indiana,6732219
Iowa,IA,Iowa,3155070
Kansas,KS,Kansas,2913314
Kentucky,KY,Kentucky,4467673
Louisiana,LA,Louisiana,4648794
Maine,ME,Maine,1344212
Maryland,MD,Maryland,6045680
Massachusetts,MA,Massachusetts,6949503
Michigan,MI,Michigan,9986857
Minnesota,MN,Minnesota,5639632
Mississippi,MS,Mississippi,2976149
Missouri,MO,Missouri,6137428
Montana,MT,Montana,1068778
Nebraska,NE,Nebraska,1934408
Nevada,NV,Nevada,3080156
New Hampshire,NH,New Hampshire,1359711
New Jersey,NJ,New Jersey,8882190
New Mexico,NM,New Mexico,2096829
New York,NY,New York,19453561
North Carolina,NC,North Carolina,10488084
North Dakota,ND,North Dakota,762062
Ohio,OH,Ohio,11689100
Oklahoma,OK,Oklahoma,3956971
Oregon,OR,Oregon,4217737
Pennsylvania,PA,Pennsylvania,12801989
Rhode Island,RI,Rhode Island,1059361
South Carolina,SC,South Carolina,5148714
South Dakota,SD,South Dakota,884659
Tennessee,TN,Tennessee,6833174
Texas,TX,Texas,28995881
Utah,UT,Utah,3205958
Vermont,VT,Vermont,623989
Virginia,VA,Virginia,8535519
Washington,WA,Washington,7614893
West Virginia,WV,West Virginia,1787147
Wisconsin,WI,Wisconsin,5822434
Wyoming,WY,Wyoming,578759
,,Puerto Rico,3193694
,,Guam,165718
,,U.S. Virgin Islands,104914
,,American Samoa,55641
,,Northern Mariana Islands,55194
,,Contiguous United States,325386357
,,The fifty states,327533795
,,Fifty states + D.C.,328239523
,,Total U.S. (including D.C. and territories),331814684
